Car_Brand,Car_Model,Year,Car_Condition,Mileage,Price
Lexus,RX 330,2004,Nigerian Used,100945,7312500
Honda,Odyssey,2007,Nigerian Used,154195,2226000
Mercedes-Benz,E 500,2004,Nigerian Used,345493,2625000
BMW,528i,2012,Foreign Used,297346,14625000
Toyota,RAV4,2008,Nigerian Used,190893,3622500
Toyota,Highlander,2012,Nigerian Used,170031,10350000
Toyota,Camry,2003,Nigerian Used,227519,3937500
Land Rover,Range Rover Vogue,2014,Nigerian Used,129007,52000000
Toyota,Corolla,2008,Nigerian Used,90000,3990000
Toyota,Highlander,2012,Nigerian Used,94527,7875000
Hyundai,Accent,2014,Nigerian Used,155722,2625000
Mercedes-Benz,C 250,2013,Nigerian Used,101589,9000000
Hyundai,Grandeur,2012,Nigerian Used,272681,9000000
Toyota,Corolla,2007,Nigerian Used,257602,4500000
Hyundai,Elantra,2020,Nigerian Used,47245,17850000
Lexus,RX 350,2010,Foreign Used,143291,15480000
Toyota,Camry,2007,Nigerian Used,256894,4680000
Toyota,Highlander,2006,Foreign Used,148094,7875000
Honda,Civic,2009,Nigerian Used,114514,2808000
Toyota,Sienna LE,2002,Nigerian Used,145021,3120000
Toyota,Camry,2008,Nigerian Used,283026,3675000
Lexus,LS 460,2010,Nigerian Used,49435,7927500
Mercedes-Benz,C 350,2009,Nigerian Used,277739,9000000
GAC,GS4,2018,Nigerian Used,60076,10125000
Subaru,Tribeca,2006,Nigerian Used,303635,3675000
Mercedes-Benz,E 350,2010,Nigerian Used,20613,10400000
Toyota,Sienna,2010,Foreign Used,392307,9000000
Mercedes-Benz,A 180,2010,Nigerian Used,169250,4500000
Honda,CR-V,2012,Nigerian Used,161616,7176000
Honda,CR-V,2004,Nigerian Used,344396,2808000
Nissan,Altima,2004,Nigerian Used,115051,1575000
Land Rover,Range Rover,2014,Nigerian Used,51762,36750000
Toyota,Camry,2012,Foreign Used,257460,8694436
Honda,Accord,2008,Nigerian Used,76531,2730000
BMW,328i,2010,Nigerian Used,332170,6300000
Mazda,CX-9,2009,Nigerian Used,238935,4725000
Lexus,GS 460,2008,Nigerian Used,164683,3825000
Mazda,MPV,2001,Nigerian Used,245755,1995000
Subaru,Legacy,2012,Foreign Used,153214,6300000
Hyundai,Elantra,2008,Nigerian Used,135076,2415000
Land Rover,Range Rover,2014,Nigerian Used,106194,29400000
Ford,Ranger,2014,Nigerian Used,342113,9975000
Toyota,Camry,2015,Foreign Used,150647,14976000
Toyota,4-Runner,2005,Nigerian Used,327190,3324300
Mercedes-Benz,GL 550,2009,Foreign Used,147610,9450000
Hyundai,Veloster,2015,Foreign Used,96624,8715000
Nissan,Navara,2002,Nigerian Used,31010,8400000
Toyota,Camry,2007,Nigerian Used,200366,3675000
Volkswagen,Comfort Coupe,2013,Nigerian Used,438183,5250000
Mercedes-Benz,CLS 550,2012,Nigerian Used,158654,16800000
Mitsubishi,Outlander,2010,Nigerian Used,233008,5250000
Acura,MDX,2010,Nigerian Used,238561,9562500
Ford,Edge,2011,Nigerian Used,297380,6240000
Toyota,Yaris,2006,Nigerian Used,300950,3150000
Toyota,Matrix,2006,Nigerian Used,143766,2835000
Lexus,RX 330,2004,Nigerian Used,38070,5460000
Mitsubishi,L200,2005,Nigerian Used,80853,7875000
Mercedes-Benz,C 300,2011,Nigerian Used,160934,7280000
Scion,xB,2008,Foreign Used,161605,3465000
Ford,Explorer,2007,Nigerian Used,325244,2310000
Volvo,S80,2008,Nigerian Used,248218,1680000
Kia,Sorento,2006,Nigerian Used,266975,2184000
Volkswagen,Passat,2006,Nigerian Used,130049,2415000
Toyota,Camry,2008,Nigerian Used,119680,4725000
Honda,Accord,2007,Nigerian Used,285901,2600000
Acura,MDX,2007,Nigerian Used,81155,3307500
Toyota,Sienna,2008,Foreign Used,251180,7800000
Mercedes-Benz,E 350,2013,Nigerian Used,158038,8925000
Lexus,GX 460,2010,Nigerian Used,104542,17850000
Toyota,Highlander,2008,Nigerian Used,404343,10920000
Honda,Accord,2014,Nigerian Used,275477,8320000
Nissan,Murano,2009,Nigerian Used,175678,2625000
Acura,TLX,2015,Foreign Used,152341,14700000
Nissan,Titan,2004,Nigerian Used,167001,4200000
Lexus,ES 300,2003,Nigerian Used,130597,2835000
Toyota,C-HR,2018,Foreign Used,75842,28080000
